tradeId,marketId,question,action,entryPrice,size,confidence,expectedReturn,riskScore,timestamp,resolved,actualOutcome,exitPrice,pnl
ZEC-USD-1768332412510-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.128,0.82,2.5,0.4,1768332412511,true,,425.74655,-0.06000000000000004
ZEC-USD-1768332429890-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.132,0.82,2.8,0.4,1768332429890,true,true,446.06136000000004,0.12800000000000017
ZEC-USD-1768332448820-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.128,0.82,2.5,0.4,1768332448820,true,true,445.1969,0.12000000000000008
ZEC-USD-1768332485502-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.128,0.82,2.5,0.4,1768332485502,true,true,445.1969,0.12000000000000008
ZEC-USD-1768332613171-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.146,0.82,2.5,0.4,1768332613171,true,true,445.1969,0.12000000000000008
SOL-USD-1768332616984-S1,SOL-USD,"SOL-USD LONG @ $137.08",buy,137.08,0.1,0.72,2.2,0.4,1768332616984,true,true,140.507,0.049999999999999885
FARTCOIN-USD-1768332620736-S1,FARTCOIN-USD,"FARTCOIN-USD LONG @ $0.393",buy,0.39321,0.1,0.72,2.2,0.4,1768332620736,true,,0.38849148,-0.024000000000000018
MON-USD-1768332623418-S1,MON-USD,"MON-USD LONG @ $0.027",buy,0.026617,0.1,0.72,2.2,0.4,1768332623418,true,,0.026297596,-0.023999999999999914
ZEC-USD-1768332633298-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.146,0.82,2.5,0.4,1768332633298,true,true,445.1969,0.12000000000000008
SOL-USD-1768332637217-S2,SOL-USD,"SOL-USD LONG @ $137.08",buy,137.08,0.1,0.72,2.2,0.4,1768332637217,true,,135.43504000000001,-0.023999999999999962
FARTCOIN-USD-1768332640904-S2,FARTCOIN-USD,"FARTCOIN-USD LONG @ $0.393",buy,0.39321,0.1,0.72,2.2,0.4,1768332640904,true,,0.38849148,-0.024000000000000018
MON-USD-1768332643525-S2,MON-USD,"MON-USD LONG @ $0.027",buy,0.026617,0.1,0.72,2.2,0.4,1768332643525,true,,0.026297596,-0.023999999999999914
ZEC-USD-1768332881372-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.144,0.82,2.8,0.4,1768332881372,true,true,446.06136000000004,0.12800000000000017
SOL-USD-1768332885032-S1,SOL-USD,"SOL-USD LONG @ $137.08",buy,137.08,0.1,0.72,2.2,0.4,1768332885032,true,,135.43504000000001,-0.023999999999999962
FARTCOIN-USD-1768332888749-S1,FARTCOIN-USD,"FARTCOIN-USD LONG @ $0.393",buy,0.39321,0.1,0.72,2.2,0.4,1768332888749,true,,0.38849148,-0.024000000000000018
MON-USD-1768332891289-S1,MON-USD,"MON-USD LONG @ $0.027",buy,0.026617,0.1,0.72,2.2,0.4,1768332891289,true,,0.026297596,-0.023999999999999914
ZEC-USD-1768332901185-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.144,0.82,2.8,0.4,1768332901185,true,,424.44986,-0.07200000000000016
SOL-USD-1768332904845-S2,SOL-USD,"SOL-USD LONG @ $137.08",buy,137.08,0.1,0.72,2.2,0.4,1768332904845,true,true,140.507,0.049999999999999885
