tradeId,marketId,question,action,entryPrice,size,confidence,expectedReturn,riskScore,timestamp,resolved,actualOutcome,exitPrice,pnl
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334662317,true,,25.78996895746571,-0.04231488361531516
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334668317,true,,25.787228157633088,-0.04188529116506084
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334674321,true,,25.789179279358496,-0.04219110961731922
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334680323,true,,25.79294752684893,-0.042781744020208616
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334685305,true,,25.792823950456167,-0.04276237467965013
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334689328,true,,25.79037202026743,-0.042378059603045526
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334695307,true,,25.789726014181934,-0.04227680473071069
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334698329,true,,25.79466796122094,-0.04305140458008495
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334704334,true,,25.791465711321873,-0.04254948453320901
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334710335,true,,25.792677366917555,-0.042739399203378645
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334715310,true,,25.792697107223,-0.04274249329514096
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334719340,true,,25.793661476691412,-0.0428936483842339
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334725311,true,,25.793929315500833,-0.04293562938884535
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334728344,true,,25.794889824820352,-0.04308617943892671
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334734348,true,,25.790248753422112,-0.04235873878089542
HYPE-USD-1768334650361,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.176,0.3,1.035,0.7,1768334740350,true,,25.787632143914102,-0.041948611898762186
